id,category,courseName,credit
1,Computer Science Elective,CS Elective - 1,3
2,Computer Science Elective,CS Elective - 2,3
3,Computer Science Elective,CS Elective - 3,3
4,Computer Science Elective,CS Elective - 4,3
5,Computer Science Elective,CS Elective - 5,3
6,Computer Science Elective,CS Elective,3
7,Computer Science Elective,Dsgn Dfct and Restrct,3
8,Computer Science Elective,Prof Issues in IT,3
9,Computer Science Elective,Intro. to SW PM,3
10,Computer Science Elective,IS Audit and Control,3
11,Computer Science Elective,Software Testing,3
12,Computer Science Elective,CS Elective 1,3
13,Computer Science Elective,CS Elective 2,3
14,Computer Science Elective,CS Elective 3,3
15,Computer Science Elective,CS Elective 4,3
16,Computer Science Elective,CS Elective 5,3
