id,category,courseName,credit
1,General Education,English Composition & Comprehension,3
2,General Education,Technical & Business Writing,3
3,General Education,Communication & Presentation Skills,3
4,General Education,Professional Practices,3
5,General Education,Intro to Info. & Comm. Technologies,2
6,General Education,Pakistan Studies,2
7,General Education,Islamic Studies & Ethics,2
8,General Education,Islamic Studies/ Ethics,3
9,General Education,English Language,3
10,General Education,TBW,3
11,General Education,English Composition,3
12,General Education,Islam and Relig Std,3
13,General Education,Introduction to Info. & Comm. Technologies,3
