id,category,courseName,credit
1,University Electives,Foreign Language,2
2,University Electives,Social Service,1
3,University Electives,Management Related,3
4,University Electives,Social Science Related,3
5,University Electives,Economy Related,3
6,University Electives,Entrepreneurship,3
7,University Electives,Psychology,3
8,University Electives,Arabic Language,3
9,University Electives,Micro Economics,3
10,University Electives,International HR Mgmt,3
11,University Electives,Fund of Management,3
